
June 11. 2017
Sensor Datalog with Extended Functionality
Time,Time,Pressure,Temperature,Humidity,Acceleration(XYZ),,,Angular Rate(XYZ),,,Mag Field(XYZ),,,NewData,
[h:m],[s],[hPa],[?C],[%],[mg],[mg],[mg],[mdps],[mdps],[mdps],[mGauss],[mGauss],[mGauss],MSBfirst:--THPMGA,
14:38,39.94,,,,-36,1012,10,        ,        ,        ,,,,0x01,
14:38,39.94,,,,-39,1012,10,        ,        ,        ,,,,0x01,
14:38,39.94,,,,-38,1016,10,        ,        ,        ,,,,0x01,
14:38,39.95,,,,-38,1012,5,        ,        ,        ,,,,0x01,
14:38,39.95,,,,-39,1013,6,        ,        ,        ,,,,0x01,
14:38,39.96,,,,-39,1015,10,        ,        ,        ,,,,0x01,
14:38,39.96,,,,-38,1014,9,        ,        ,        ,,,,0x01,
14:38,39.96,,,,-40,1011,11,        ,        ,        ,,,,0x01,
14:38,39.97,,,,-39,1013,9,        ,        ,        ,,,,0x01,
14:38,39.98,,,,-38,1014,8,        ,        ,        ,,,,0x01,
14:38,39.98,,,,-41,1013,8,        ,        ,        ,,,,0x01,
14:38,39.98,,,,-40,1014,3,        ,        ,        ,,,,0x01,
14:38,39.99,,,,-40,1014,3,        ,        ,        ,,,,0x01,
14:38,39.99,,,,-40,1015,9,        ,        ,        ,,,,0x01,
14:38,40.00,,,,-37,1012,9,        ,        ,        ,,,,0x01,
14:38,40.00,,,,-38,1013,8,        ,        ,        ,,,,0x01,
14:38,40.00,,,,-38,1014,9,        ,        ,        ,,,,0x01,
14:38,40.01,,,,-40,1012,8,        ,        ,        ,,,,0x01,
14:38,40.01,,,,-39,1012,10,        ,        ,        ,,,,0x01,
14:38,40.01,,,,-39,1013,7,        ,        ,        ,,,,0x01,
14:38,40.02,,,,-40,1012,7,        ,        ,        ,,,,0x01,
14:38,40.02,,,,-40,1015,10,        ,        ,        ,,,,0x01,
14:38,40.03,,,,-38,1014,6,        ,        ,        ,,,,0x01,
14:38,40.03,,,,-38,1012,4,        ,        ,        ,,,,0x01,
14:38,40.03,,,,-39,1013,6,        ,        ,        ,,,,0x01,
14:38,40.04,,,,-39,1013,6,        ,        ,        ,,,,0x01,
14:38,40.04,,,,-37,1014,7,        ,        ,        ,,,,0x01,
14:38,40.05,,,,-39,1014,9,        ,        ,        ,,,,0x01,
14:38,40.05,,,,-39,1011,5,        ,        ,        ,,,,0x01,
14:38,40.05,,,,-39,1012,9,        ,        ,        ,,,,0x01,
14:38,40.06,,,,-38,1011,10,        ,        ,        ,,,,0x01,
14:38,40.06,,,,-39,1011,10,        ,        ,        ,,,,0x01,
14:38,40.07,,,,-38,1014,11,        ,        ,        ,,,,0x01,
14:38,40.07,,,,-37,1013,9,        ,        ,        ,,,,0x01,
14:38,40.07,,,,-40,1012,9,        ,        ,        ,,,,0x01,
14:38,40.08,,,,-39,1014,10,        ,        ,        ,,,,0x01,
14:38,40.08,,,,-39,1013,6,        ,        ,        ,,,,0x01,
14:38,40.09,,,,-38,1012,6,        ,        ,        ,,,,0x01,
14:38,40.09,,,,-39,1014,8,        ,        ,        ,,,,0x01,
14:38,40.10,,,,-37,1012,9,        ,        ,        ,,,,0x01,
14:38,40.10,,,,-39,1014,11,        ,        ,        ,,,,0x01,
14:38,40.10,,,,-39,1012,10,        ,        ,        ,,,,0x01,
14:38,40.11,,,,-39,1012,9,        ,        ,        ,,,,0x01,
14:38,40.11,,,,-39,1013,11,        ,        ,        ,,,,0x01,
14:38,40.12,,,,-39,1012,12,        ,        ,        ,,,,0x01,
14:38,40.12,,,,-37,1012,14,        ,        ,        ,,,,0x01,
14:38,40.12,,,,-38,1009,19,        ,        ,        ,,,,0x01,
14:38,40.13,,,,-40,1007,21,        ,        ,        ,,,,0x01,
14:38,40.13,,,,-47,1008,27,        ,        ,        ,,,,0x01,
14:38,40.14,,,,-62,1004,45,        ,        ,        ,,,,0x01,
14:38,40.14,,,,-40,999,51,        ,        ,        ,,,,0x01,
14:38,40.14,,,,-22,1010,31,        ,        ,        ,,,,0x01,
14:38,40.15,,,,-29,1014,13,        ,        ,        ,,,,0x01,
14:38,40.15,,,,-32,1010,8,        ,        ,        ,,,,0x01,
14:38,40.16,,,,-43,1016,9,        ,        ,        ,,,,0x01,
14:38,40.16,,,,-45,1013,7,        ,        ,        ,,,,0x01,
14:38,40.16,,,,-39,1012,5,        ,        ,        ,,,,0x01,
14:38,40.17,,,,-35,1018,2,        ,        ,        ,,,,0x01,
14:38,40.17,,,,-39,1011,2,        ,        ,        ,,,,0x01,
14:38,40.17,,,,-37,1012,6,        ,        ,        ,,,,0x01,
14:38,40.18,,,,-36,1016,4,        ,        ,        ,,,,0x01,
14:38,40.18,,,,-38,1011,4,        ,        ,        ,,,,0x01,
14:38,40.19,,,,-38,1012,3,        ,        ,        ,,,,0x01,
14:38,40.19,,,,-38,1013,0,        ,        ,        ,,,,0x01,
14:38,40.20,,,,-40,1011,0,        ,        ,        ,,,,0x01,
14:38,40.20,,,,-37,1016,-1,        ,        ,        ,,,,0x01,
14:38,40.21,,,,-37,1014,-5,        ,        ,        ,,,,0x01,
14:38,40.21,,,,-35,1014,-5,        ,        ,        ,,,,0x01,
14:38,40.21,,,,-34,1015,0,        ,        ,        ,,,,0x01,
14:38,40.22,,,,-34,1014,0,        ,        ,        ,,,,0x01,
14:38,40.22,,,,-37,1014,-2,        ,        ,        ,,,,0x01,
14:38,40.23,,,,-42,1017,0,        ,        ,        ,,,,0x01,
14:38,40.23,,,,-40,1011,-3,        ,        ,        ,,,,0x01,
14:38,40.23,,,,-44,1019,-1,        ,        ,        ,,,,0x01,
14:38,40.24,,,,-42,1019,-10,        ,        ,        ,,,,0x01,
14:38,40.24,,,,-40,1016,-15,        ,        ,        ,,,,0x01,
14:38,40.25,,,,-41,1020,-21,        ,        ,        ,,,,0x01,
14:38,40.25,,,,-43,1024,-24,        ,        ,        ,,,,0x01,
14:38,40.25,,,,-43,1020,-24,        ,        ,        ,,,,0x01,
14:38,40.26,,,,-45,1019,-19,        ,        ,        ,,,,0x01,
14:38,40.26,,,,-48,1014,-8,        ,        ,        ,,,,0x01,
14:38,40.26,,,,-47,1011,-1,        ,        ,        ,,,,0x01,
14:38,40.27,,,,-44,1012,-5,        ,        ,        ,,,,0x01,
14:38,40.27,,,,-41,1015,-5,        ,        ,        ,,,,0x01,
14:38,40.28,,,,-42,1011,-11,        ,        ,        ,,,,0x01,
14:38,40.28,,,,-51,1017,-20,        ,        ,        ,,,,0x01,
14:38,40.28,,,,-61,1018,-30,        ,        ,        ,,,,0x01,
14:38,40.29,,,,-59,1022,-25,        ,        ,        ,,,,0x01,
14:38,40.29,,,,-47,1014,-12,        ,        ,        ,,,,0x01,
14:38,40.30,,,,-28,1012,7,        ,        ,        ,,,,0x01,
14:38,40.30,,,,-11,1008,24,        ,        ,        ,,,,0x01,
14:38,40.31,,,,-3,1004,29,        ,        ,        ,,,,0x01,
14:38,40.31,,,,-9,1007,34,        ,        ,        ,,,,0x01,
14:38,40.32,,,,-20,1006,20,        ,        ,        ,,,,0x01,
14:38,40.32,,,,-33,1011,7,        ,        ,        ,,,,0x01,
14:38,40.32,,,,-42,1015,1,        ,        ,        ,,,,0x01,
14:38,40.33,,,,-46,1015,-1,        ,        ,        ,,,,0x01,
14:38,40.33,,,,-50,1017,-8,        ,        ,        ,,,,0x01,
14:38,40.33,,,,-39,1020,-11,        ,        ,        ,,,,0x01,
14:38,40.34,,,,-22,1020,-23,        ,        ,        ,,,,0x01,
14:38,40.34,,,,-40,1018,-19,        ,        ,        ,,,,0x01,
14:38,40.35,,,,-66,1016,1,        ,        ,        ,,,,0x01,
14:38,40.35,,,,-58,1006,23,        ,        ,        ,,,,0x01,
14:38,40.35,,,,-45,1006,27,        ,        ,        ,,,,0x01,
14:38,40.36,,,,-37,1009,21,        ,        ,        ,,,,0x01,
14:38,40.36,,,,-31,1006,15,        ,        ,        ,,,,0x01,
14:38,40.37,,,,-19,1010,20,        ,        ,        ,,,,0x01,
14:38,40.37,,,,-18,1004,29,        ,        ,        ,,,,0x01,
14:38,40.37,,,,-16,1004,33,        ,        ,        ,,,,0x01,
14:38,40.38,,,,-22,1007,33,        ,        ,        ,,,,0x01,
14:38,40.38,,,,-36,1006,22,        ,        ,        ,,,,0x01,
14:38,40.39,,,,-52,1013,2,        ,        ,        ,,,,0x01,
14:38,40.39,,,,-50,1017,-15,        ,        ,        ,,,,0x01,
14:38,40.39,,,,-48,1020,-19,        ,        ,        ,,,,0x01,
14:38,40.40,,,,-39,1017,-8,        ,        ,        ,,,,0x01,
14:38,40.40,,,,-29,1015,7,        ,        ,        ,,,,0x01,
14:38,40.41,,,,-24,1008,14,        ,        ,        ,,,,0x01,
14:38,40.41,,,,-31,1012,10,        ,        ,        ,,,,0x01,
14:38,40.42,,,,-33,1013,5,        ,        ,        ,,,,0x01,
14:38,40.42,,,,-33,1014,-1,        ,        ,        ,,,,0x01,
14:38,40.42,,,,-35,1015,0,        ,        ,        ,,,,0x01,
14:38,40.43,,,,-41,1011,1,        ,        ,        ,,,,0x01,
14:38,40.43,,,,-42,1015,-3,        ,        ,        ,,,,0x01,
14:38,40.44,,,,-44,1018,-8,        ,        ,        ,,,,0x01,
14:38,40.44,,,,-44,1015,-10,        ,        ,        ,,,,0x01,
14:38,40.44,,,,-43,1016,-5,        ,        ,        ,,,,0x01,
14:38,40.45,,,,-38,1014,0,        ,        ,        ,,,,0x01,
14:38,40.45,,,,-33,1011,2,        ,        ,        ,,,,0x01,
14:38,40.46,,,,-34,1012,9,        ,        ,        ,,,,0x01,
14:38,40.46,,,,-41,1010,0,        ,        ,        ,,,,0x01,
14:38,40.46,,,,-39,1015,-5,        ,        ,        ,,,,0x01,
14:38,40.47,,,,-35,1014,1,        ,        ,        ,,,,0x01,
14:38,40.47,,,,-37,1010,6,        ,        ,        ,,,,0x01,
14:38,40.48,,,,-37,1012,6,        ,        ,        ,,,,0x01,
14:38,40.48,,,,-42,1013,0,        ,        ,        ,,,,0x01,
14:38,40.48,,,,-47,1017,-8,        ,        ,        ,,,,0x01,
14:38,40.49,,,,-30,1017,-5,        ,        ,        ,,,,0x01,
14:38,40.49,,,,-42,1009,14,        ,        ,        ,,,,0x01,
14:38,40.50,,,,-28,1010,6,        ,        ,        ,,,,0x01,
14:38,40.50,,,,-36,1013,7,        ,        ,        ,,,,0x01,
14:38,40.50,,,,-35,1011,5,        ,        ,        ,,,,0x01,
14:38,40.51,,,,-38,1014,0,        ,        ,        ,,,,0x01,
14:38,40.51,,,,-41,1014,0,        ,        ,        ,,,,0x01,
14:38,40.51,,,,-36,1014,0,        ,        ,        ,,,,0x01,
14:38,40.52,,,,-40,1013,3,        ,        ,        ,,,,0x01,
14:38,40.53,,,,-37,1011,4,        ,        ,        ,,,,0x01,
14:38,40.53,,,,-38,1012,2,        ,        ,        ,,,,0x01,
14:38,40.53,,,,-40,1014,2,        ,        ,        ,,,,0x01,
14:38,40.54,,,,-37,1013,0,        ,        ,        ,,,,0x01,
14:38,40.54,,,,-36,1013,2,        ,        ,        ,,,,0x01,
14:38,40.55,,,,-36,1014,6,        ,        ,        ,,,,0x01,
14:38,40.55,,,,-35,1011,8,        ,        ,        ,,,,0x01,
14:38,40.55,,,,-36,1012,3,        ,        ,        ,,,,0x01,
14:38,40.56,,,,-36,1012,2,        ,        ,        ,,,,0x01,
14:38,40.56,,,,-36,1010,8,        ,        ,        ,,,,0x01,
14:38,40.57,,,,-35,1013,9,        ,        ,        ,,,,0x01,
14:38,40.57,,,,-35,1010,11,        ,        ,        ,,,,0x01,
14:38,40.57,,,,-34,1008,10,        ,        ,        ,,,,0x01,
14:38,40.58,,,,-41,1009,10,        ,        ,        ,,,,0x01,
14:38,40.58,,,,-54,1001,16,        ,        ,        ,,,,0x01,
14:38,40.58,,,,-63,1000,50,        ,        ,        ,,,,0x01,
14:38,40.59,,,,-24,1013,24,        ,        ,        ,,,,0x01,
14:38,40.59,,,,-43,1021,0,        ,        ,        ,,,,0x01,
14:38,40.60,,,,-49,1002,4,        ,        ,        ,,,,0x01,
14:38,40.60,,,,-28,1016,0,        ,        ,        ,,,,0x01,
14:38,40.60,,,,-40,1016,-6,        ,        ,        ,,,,0x01,
14:38,40.61,,,,-36,1016,-6,        ,        ,        ,,,,0x01,
14:38,40.61,,,,-36,1016,-2,        ,        ,        ,,,,0x01,
14:38,40.62,,,,-37,1013,-4,        ,        ,        ,,,,0x01,
14:38,40.62,,,,-37,1016,-3,        ,        ,        ,,,,0x01,
14:38,40.62,,,,-35,1014,-5,        ,        ,        ,,,,0x01,
14:38,40.63,,,,-35,1013,-7,        ,        ,        ,,,,0x01,
14:38,40.64,,,,-35,1016,-7,        ,        ,        ,,,,0x01,
14:38,40.64,,,,-34,1015,-10,        ,        ,        ,,,,0x01,
14:38,40.64,,,,-36,1015,-14,        ,        ,        ,,,,0x01,
14:38,40.65,,,,-39,1017,-18,        ,        ,        ,,,,0x01,
14:38,40.65,,,,-39,1018,-22,        ,        ,        ,,,,0x01,
14:38,40.66,,,,-39,1020,-18,        ,        ,        ,,,,0x01,
14:38,40.66,,,,-41,1017,-18,        ,        ,        ,,,,0x01,
14:38,40.66,,,,-40,1015,-12,        ,        ,        ,,,,0x01,
14:38,40.67,,,,-40,1017,-6,        ,        ,        ,,,,0x01,
14:38,40.67,,,,-39,1013,-4,        ,        ,        ,,,,0x01,
14:38,40.67,,,,-40,1014,-3,        ,        ,        ,,,,0x01,
14:38,40.68,,,,-40,1013,-2,        ,        ,        ,,,,0x01,
14:38,40.68,,,,-39,1011,-1,        ,        ,        ,,,,0x01,
14:38,40.69,,,,-36,1014,0,        ,        ,        ,,,,0x01,
14:38,40.69,,,,-34,1013,1,        ,        ,        ,,,,0x01,
14:38,40.69,,,,-35,1011,2,        ,        ,        ,,,,0x01,
14:38,40.70,,,,-35,1012,5,        ,        ,        ,,,,0x01,
14:38,40.70,,,,-35,1012,1,        ,        ,        ,,,,0x01,
14:38,40.71,,,,-36,1012,0,        ,        ,        ,,,,0x01,
14:38,40.71,,,,-38,1013,0,        ,        ,        ,,,,0x01,
14:38,40.71,,,,-37,1012,0,        ,        ,        ,,,,0x01,
14:38,40.72,,,,-38,1011,0,        ,        ,        ,,,,0x01,
14:38,40.72,,,,-41,1015,0,        ,        ,        ,,,,0x01,
14:38,40.73,,,,-39,1012,0,        ,        ,        ,,,,0x01,
14:38,40.73,,,,-40,1012,-1,        ,        ,        ,,,,0x01,
14:38,40.73,,,,-40,1014,0,        ,        ,        ,,,,0x01,
14:38,40.74,,,,-38,1013,-1,        ,        ,        ,,,,0x01,
14:38,40.75,,,,-37,1013,1,        ,        ,        ,,,,0x01,
14:38,40.75,,,,-32,1010,8,        ,        ,        ,,,,0x01,
14:38,40.75,,,,-28,1009,11,        ,        ,        ,,,,0x01,
14:38,40.76,,,,-29,1011,14,        ,        ,        ,,,,0x01,
14:38,40.76,,,,-33,1008,9,        ,        ,        ,,,,0x01,
14:38,40.76,,,,-40,1007,9,        ,        ,        ,,,,0x01,
14:38,40.77,,,,-63,1000,22,        ,        ,        ,,,,0x01,
14:38,40.77,,,,-72,998,38,        ,        ,        ,,,,0x01,
14:38,40.78,,,,-38,1006,23,        ,        ,        ,,,,0x01,
14:38,40.78,,,,-21,1016,-1,        ,        ,        ,,,,0x01,
14:38,40.78,,,,-13,1023,-26,        ,        ,        ,,,,0x01,
14:38,40.79,,,,-27,1026,-35,        ,        ,        ,,,,0x01,
14:38,40.79,,,,-43,1021,-39,        ,        ,        ,,,,0x01,
14:38,40.80,,,,-50,1019,-34,        ,        ,        ,,,,0x01,
14:38,40.80,,,,-47,1016,-23,        ,        ,        ,,,,0x01,
14:38,40.80,,,,-41,1011,-7,        ,        ,        ,,,,0x01,
14:38,40.81,,,,-40,1009,0,        ,        ,        ,,,,0x01,
14:38,40.81,,,,-40,1012,4,        ,        ,        ,,,,0x01,
14:38,40.82,,,,-41,1006,4,        ,        ,        ,,,,0x01,
14:38,40.82,,,,-43,1011,1,        ,        ,        ,,,,0x01,
14:38,40.82,,,,-41,1013,-1,        ,        ,        ,,,,0x01,
14:38,40.83,,,,-39,1014,-14,        ,        ,        ,,,,0x01,
14:38,40.83,,,,-37,1017,-23,        ,        ,        ,,,,0x01,
14:38,40.83,,,,-37,1020,-31,        ,        ,        ,,,,0x01,
14:38,40.84,,,,-38,1021,-36,        ,        ,        ,,,,0x01,
14:38,40.84,,,,-45,1022,-32,        ,        ,        ,,,,0x01,
14:38,40.85,,,,-45,1020,-29,        ,        ,        ,,,,0x01,
14:38,40.85,,,,-41,1015,-19,        ,        ,        ,,,,0x01,
14:38,40.86,,,,-39,1013,-4,        ,        ,        ,,,,0x01,
14:38,40.86,,,,-36,1010,0,        ,        ,        ,,,,0x01,
14:38,40.87,,,,-38,1014,-1,        ,        ,        ,,,,0x01,
14:38,40.87,,,,-39,1011,-4,        ,        ,        ,,,,0x01,
14:38,40.87,,,,-40,1012,-10,        ,        ,        ,,,,0x01,
14:38,40.88,,,,-43,1015,-7,        ,        ,        ,,,,0x01,
14:38,40.88,,,,-44,1011,-8,        ,        ,        ,,,,0x01,
14:38,40.89,,,,-45,1013,-9,        ,        ,        ,,,,0x01,
14:38,40.89,,,,-40,1016,-5,        ,        ,        ,,,,0x01,
