sep=,

June 11. 2017
Sensor Datalog with Extended Functionality
Time,Time,Pressure,Temperature,Humidity,Acceleration(XYZ),,,Angular Rate(XYZ),,,Mag Field(XYZ),,,NewData,
[h:m],[s],[hPa],[?C],[%],[mg],[mg],[mg],[mdps],[mdps],[mdps],[mGauss],[mGauss],[mGauss],MSBfirst:--THPMGA,
14:50,46.83,,,,-38,1014,40,        ,        ,        ,,,,0x01,
14:50,46.83,,,,-54,1010,40,        ,        ,        ,,,,0x01,
14:50,46.83,,,,-49,1012,35,        ,        ,        ,,,,0x01,
14:50,46.84,,,,-40,1013,36,        ,        ,        ,,,,0x01,
14:50,46.84,,,,-56,1012,33,        ,        ,        ,,,,0x01,
14:50,46.85,,,,-43,1013,32,        ,        ,        ,,,,0x01,
14:50,46.85,,,,-46,1011,31,        ,        ,        ,,,,0x01,
14:50,46.85,,,,-57,1014,31,        ,        ,        ,,,,0x01,
14:50,46.86,,,,-39,1014,35,        ,        ,        ,,,,0x01,
14:50,46.86,,,,-53,1011,39,        ,        ,        ,,,,0x01,
14:50,46.87,,,,-53,1013,35,        ,        ,        ,,,,0x01,
14:50,46.87,,,,-38,1012,36,        ,        ,        ,,,,0x01,
14:50,46.87,,,,-54,1012,33,        ,        ,        ,,,,0x01,
14:50,46.88,,,,-46,1014,31,        ,        ,        ,,,,0x01,
14:50,46.88,,,,-44,1014,34,        ,        ,        ,,,,0x01,
14:50,46.89,,,,-58,1013,32,        ,        ,        ,,,,0x01,
14:50,46.89,,,,-39,1014,31,        ,        ,        ,,,,0x01,
14:50,46.89,,,,-48,1012,35,        ,        ,        ,,,,0x01,
14:50,46.90,,,,-53,1012,36,        ,        ,        ,,,,0x01,
14:50,46.90,,,,-38,1015,37,        ,        ,        ,,,,0x01,
14:50,46.91,,,,-50,1010,38,        ,        ,        ,,,,0x01,
14:50,46.91,,,,-50,1013,33,        ,        ,        ,,,,0x01,
14:50,46.91,,,,-40,1012,33,        ,        ,        ,,,,0x01,
14:50,46.92,,,,-55,1012,29,        ,        ,        ,,,,0x01,
14:50,46.92,,,,-49,1014,33,        ,        ,        ,,,,0x01,
14:50,46.92,,,,-43,1014,37,        ,        ,        ,,,,0x01,
14:50,46.93,,,,-55,1012,34,        ,        ,        ,,,,0x01,
14:50,46.94,,,,-42,1015,31,        ,        ,        ,,,,0x01,
14:50,46.94,,,,-47,1013,34,        ,        ,        ,,,,0x01,
14:50,46.94,,,,-57,1013,31,        ,        ,        ,,,,0x01,
14:50,46.95,,,,-41,1014,35,        ,        ,        ,,,,0x01,
14:50,46.95,,,,-52,1011,36,        ,        ,        ,,,,0x01,
