sep=,

June 11. 2017
Sensor Datalog with Extended Functionality
Time,Time,Pressure,Temperature,Humidity,Acceleration(XYZ),,,Angular Rate(XYZ),,,Mag Field(XYZ),,,NewData,
[h:m],[s],[hPa],[?C],[%],[mg],[mg],[mg],[mdps],[mdps],[mdps],[mGauss],[mGauss],[mGauss],MSBfirst:--THPMGA,
15:10,54.57,,,,-1030,-8,68,        ,        ,        ,,,,0x01,
15:10,54.57,,,,-1027,-3,65,        ,        ,        ,,,,0x01,
15:10,54.57,,,,-1021,0,71,        ,        ,        ,,,,0x01,
15:10,54.58,,,,-1026,-5,71,        ,        ,        ,,,,0x01,
15:10,54.58,,,,-1026,-2,73,        ,        ,        ,,,,0x01,
15:10,54.58,,,,-1027,-4,70,        ,        ,        ,,,,0x01,
15:10,54.59,,,,-1025,-2,70,        ,        ,        ,,,,0x01,
15:10,54.59,,,,-1022,0,68,        ,        ,        ,,,,0x01,
15:10,54.60,,,,-1027,-4,76,        ,        ,        ,,,,0x01,
15:10,54.60,,,,-1027,-1,75,        ,        ,        ,,,,0x01,
15:10,54.60,,,,-1023,-1,76,        ,        ,        ,,,,0x01,
15:10,54.61,,,,-1023,-3,72,        ,        ,        ,,,,0x01,
15:10,54.61,,,,-1026,0,73,        ,        ,        ,,,,0x01,
15:10,54.62,,,,-1026,-4,76,        ,        ,        ,,,,0x01,
15:10,54.62,,,,-1026,-4,74,        ,        ,        ,,,,0x01,
15:10,54.62,,,,-1026,-2,70,        ,        ,        ,,,,0x01,
15:10,54.63,,,,-1026,-2,68,        ,        ,        ,,,,0x01,
15:10,54.64,,,,-1028,-1,73,        ,        ,        ,,,,0x01,
15:10,54.64,,,,-1026,0,75,        ,        ,        ,,,,0x01,
15:10,54.64,,,,-1023,-2,78,        ,        ,        ,,,,0x01,
15:10,54.65,,,,-1026,-1,73,        ,        ,        ,,,,0x01,
15:10,54.65,,,,-1026,0,76,        ,        ,        ,,,,0x01,
15:10,54.66,,,,-1028,-2,77,        ,        ,        ,,,,0x01,
15:10,54.66,,,,-1024,0,79,        ,        ,        ,,,,0x01,
15:10,54.66,,,,-1022,1,81,        ,        ,        ,,,,0x01,
15:10,54.67,,,,-994,16,94,        ,        ,        ,,,,0x01,
15:10,54.67,,,,-1026,-17,102,        ,        ,        ,,,,0x01,
15:10,54.67,,,,-1004,15,95,        ,        ,        ,,,,0x01,
15:10,54.68,,,,-1010,0,111,        ,        ,        ,,,,0x01,
15:10,54.68,,,,-1004,10,114,        ,        ,        ,,,,0x01,
15:10,54.69,,,,-1007,7,98,        ,        ,        ,,,,0x01,
15:10,54.69,,,,-1018,0,94,        ,        ,        ,,,,0x01,
15:10,54.69,,,,-1019,4,74,        ,        ,        ,,,,0x01,
15:10,54.70,,,,-1026,0,81,        ,        ,        ,,,,0x01,
15:10,54.70,,,,-1030,0,76,        ,        ,        ,,,,0x01,
15:10,54.71,,,,-1027,0,77,        ,        ,        ,,,,0x01,
15:10,54.71,,,,-1029,-3,75,        ,        ,        ,,,,0x01,
15:10,54.71,,,,-1032,-3,68,        ,        ,        ,,,,0x01,
15:10,54.72,,,,-1033,-4,72,        ,        ,        ,,,,0x01,
15:10,54.72,,,,-1031,-4,69,        ,        ,        ,,,,0x01,
15:10,54.73,,,,-1029,-1,72,        ,        ,        ,,,,0x01,
15:10,54.73,,,,-1026,-1,79,        ,        ,        ,,,,0x01,
15:10,54.73,,,,-1024,1,84,        ,        ,        ,,,,0x01,
15:10,54.74,,,,-1024,1,88,        ,        ,        ,,,,0x01,
15:10,54.74,,,,-1022,0,88,        ,        ,        ,,,,0x01,
15:10,54.75,,,,-1019,1,86,        ,        ,        ,,,,0x01,
15:10,54.75,,,,-1022,0,86,        ,        ,        ,,,,0x01,
15:10,54.76,,,,-1024,0,84,        ,        ,        ,,,,0x01,
15:10,54.76,,,,-1023,1,84,        ,        ,        ,,,,0x01,
15:10,54.76,,,,-1022,0,87,        ,        ,        ,,,,0x01,
15:10,54.77,,,,-1022,0,87,        ,        ,        ,,,,0x01,
15:10,54.77,,,,-1022,1,88,        ,        ,        ,,,,0x01,
15:10,54.78,,,,-1022,1,91,        ,        ,        ,,,,0x01,
15:10,54.78,,,,-1018,1,91,        ,        ,        ,,,,0x01,
15:10,54.78,,,,-1018,1,92,        ,        ,        ,,,,0x01,
15:10,54.79,,,,-1019,0,95,        ,        ,        ,,,,0x01,
15:10,54.79,,,,-1019,2,96,        ,        ,        ,,,,0x01,
15:10,54.80,,,,-1019,2,96,        ,        ,        ,,,,0x01,
15:10,54.80,,,,-1019,2,93,        ,        ,        ,,,,0x01,
15:10,54.80,,,,-1019,2,93,        ,        ,        ,,,,0x01,
15:10,54.81,,,,-1022,1,90,        ,        ,        ,,,,0x01,
15:10,54.81,,,,-1019,3,92,        ,        ,        ,,,,0x01,
