sep=,

June 22. 2017
Sensor Datalog with Extended Functionality
Time,Time,Pressure,Temperature,Humidity,Acceleration(XYZ),,,Angular Rate(XYZ),,,Mag Field(XYZ),,,NewData,
[h:m],[s],[hPa],[?C],[%],[mg],[mg],[mg],[mdps],[mdps],[mdps],[mGauss],[mGauss],[mGauss],MSBfirst:--THPMGA,
19:41,24.76,,,,-94,1008,98,0       ,-700    ,910     ,,,,0x01,
19:41,24.77,,,,-94,1008,97,70      ,-630    ,630     ,,,,0x03,
19:41,24.77,,,,-94,1008,97,210     ,-490    ,560     ,,,,0x02,
19:41,24.78,,,,-93,1007,96,210     ,-490    ,560     ,,,,0x01,
19:41,24.78,,,,-93,1007,96,70      ,-700    ,560     ,,,,0x02,
19:41,24.78,,,,-95,1008,96,70      ,-700    ,560     ,,,,0x01,
19:41,24.78,,,,-95,1008,99,-70     ,-490    ,560     ,,,,0x03,
19:41,24.78,,,,-95,1008,99,-210    ,-280    ,700     ,,,,0x02,
19:41,24.79,,,,-96,1006,98,-210    ,-280    ,700     ,,,,0x01,
19:41,24.79,,,,-96,1006,98,-140    ,-350    ,700     ,,,,0x02,
19:41,24.79,,,,-94,1008,98,-140    ,-350    ,700     ,,,,0x01,
19:41,24.79,,,,-93,1007,97,70      ,-420    ,700     ,,,,0x03,
19:41,24.80,,,,-93,1007,97,70      ,-560    ,420     ,,,,0x02,
19:41,24.80,,,,-94,1007,99,70      ,-560    ,420     ,,,,0x01,
19:41,24.80,,,,-94,1007,99,-70     ,-700    ,560     ,,,,0x02,
19:41,24.80,,,,-93,1006,97,-70     ,-700    ,560     ,,,,0x01,
19:41,24.81,,,,-94,1006,97,0       ,-700    ,770     ,,,,0x03,
19:41,24.81,,,,-94,1008,98,0       ,-630    ,840     ,,,,0x03,
19:41,24.82,,,,-94,1008,98,0       ,-350    ,700     ,,,,0x02,
19:41,24.82,,,,-95,1008,97,0       ,-350    ,700     ,,,,0x01,
19:41,24.82,,,,-94,1008,98,-70     ,-630    ,770     ,,,,0x03,
19:41,24.82,,,,-94,1008,98,-70     ,-350    ,700     ,,,,0x02,
19:41,24.82,,,,-93,1007,98,-70     ,-350    ,700     ,,,,0x01,
19:41,24.83,,,,-93,1007,98,-140    ,-350    ,490     ,,,,0x02,
19:41,24.83,,,,-94,1009,96,-140    ,-350    ,490     ,,,,0x01,
19:41,24.83,,,,-94,1008,97,-140    ,-490    ,630     ,,,,0x03,
19:41,24.83,,,,-94,1008,97,-70     ,-560    ,700     ,,,,0x02,
19:41,24.83,,,,-95,1007,99,-70     ,-560    ,700     ,,,,0x01,
19:41,24.84,,,,-95,1008,96,-70     ,-490    ,490     ,,,,0x03,
19:41,24.84,,,,-93,1005,95,0       ,-420    ,700     ,,,,0x03,
19:41,24.85,,,,-93,1005,95,-70     ,-490    ,700     ,,,,0x02,
19:41,24.85,,,,-96,1007,98,-70     ,-490    ,700     ,,,,0x01,
19:41,24.85,,,,-94,1007,97,-70     ,-490    ,700     ,,,,0x03,
19:41,24.85,,,,-94,1007,97,0       ,-420    ,630     ,,,,0x03,
19:41,24.86,,,,-94,1007,97,70      ,-700    ,490     ,,,,0x02,
19:41,24.86,,,,-95,1007,99,70      ,-700    ,490     ,,,,0x01,
19:41,24.86,,,,-95,1007,99,-70     ,-840    ,700     ,,,,0x02,
19:41,24.87,,,,-93,1008,98,-70     ,-840    ,700     ,,,,0x01,
19:41,24.87,,,,-95,1008,98,0       ,-490    ,420     ,,,,0x03,
19:41,24.87,,,,-95,1008,98,70      ,-770    ,490     ,,,,0x02,
19:41,24.87,,,,-95,1008,97,70      ,-770    ,490     ,,,,0x01,
19:41,24.87,,,,-94,1007,96,0       ,-700    ,630     ,,,,0x03,
19:41,24.88,,,,-94,1007,96,0       ,-560    ,840     ,,,,0x03,
19:41,24.89,,,,-94,1007,96,-70     ,-560    ,910     ,,,,0x02,
19:41,24.89,,,,-95,1008,97,-70     ,-560    ,910     ,,,,0x01,
19:41,24.89,,,,-95,1007,96,-70     ,-490    ,700     ,,,,0x03,
19:41,24.89,,,,-94,1007,98,-70     ,-350    ,700     ,,,,0x03,
19:41,24.90,,,,-94,1007,98,70      ,-420    ,630     ,,,,0x02,
19:41,24.90,,,,-94,1009,99,70      ,-420    ,630     ,,,,0x01,
19:41,24.90,,,,-95,1007,98,-70     ,-490    ,700     ,,,,0x03,
19:41,24.91,,,,-95,1008,97,70      ,-560    ,840     ,,,,0x03,
19:41,24.91,,,,-95,1008,97,70      ,-280    ,910     ,,,,0x02,
19:41,24.91,,,,-93,1006,95,70      ,-280    ,910     ,,,,0x01,
19:41,24.91,,,,-92,1005,94,210     ,-490    ,910     ,,,,0x03,
19:41,24.92,,,,-94,1006,96,0       ,-350    ,840     ,,,,0x03,
19:41,24.92,,,,-94,1006,96,0       ,-350    ,770     ,,,,0x02,
19:41,24.92,,,,-94,1007,96,0       ,-350    ,770     ,,,,0x01,
19:41,24.92,,,,-94,1007,98,140     ,-630    ,630     ,,,,0x03,
19:41,24.93,,,,-93,1006,99,70      ,-420    ,700     ,,,,0x03,
19:41,24.93,,,,-93,1006,99,70      ,-560    ,700     ,,,,0x02,
19:41,24.94,,,,-94,1008,95,70      ,-560    ,700     ,,,,0x01,
19:41,24.94,,,,-95,1006,97,0       ,-560    ,700     ,,,,0x03,
19:41,24.94,,,,-94,1007,99,-70     ,-560    ,560     ,,,,0x03,
19:41,24.94,,,,-94,1007,99,70      ,-350    ,630     ,,,,0x02,
19:41,24.95,,,,-94,1008,96,70      ,-350    ,630     ,,,,0x01,
19:41,24.95,,,,-94,1006,97,140     ,-280    ,770     ,,,,0x03,
19:41,24.95,,,,-94,1006,97,280     ,-560    ,700     ,,,,0x03,
19:41,24.96,,,,-94,1006,97,210     ,-420    ,700     ,,,,0x02,
19:41,24.96,,,,-94,1007,100,210     ,-420    ,700     ,,,,0x01,
19:41,24.96,,,,-93,1007,98,350     ,-560    ,840     ,,,,0x03,
19:41,24.97,,,,-94,1008,97,420     ,-420    ,700     ,,,,0x03,
19:41,24.97,,,,-94,1008,97,210     ,-420    ,840     ,,,,0x02,
19:41,24.97,,,,-94,1008,97,210     ,-420    ,840     ,,,,0x01,
19:41,24.98,,,,-94,1008,95,420     ,-420    ,770     ,,,,0x03,
19:41,24.98,,,,-94,1008,95,70      ,-420    ,840     ,,,,0x02,
19:41,24.98,,,,-93,1008,99,70      ,-420    ,840     ,,,,0x01,
19:41,24.98,,,,-93,1008,99,0       ,-490    ,700     ,,,,0x02,
19:41,24.98,,,,-93,1007,95,0       ,-490    ,700     ,,,,0x01,
19:41,24.99,,,,-96,1008,97,-210    ,-420    ,840     ,,,,0x03,
19:41,24.99,,,,-96,1008,97,0       ,-490    ,770     ,,,,0x02,
19:41,24.99,,,,-94,1007,97,0       ,-490    ,770     ,,,,0x01,
19:41,25.00,,,,-94,1009,95,70      ,-420    ,910     ,,,,0x03,
19:41,25.00,,,,-95,1008,95,70      ,-560    ,490     ,,,,0x03,
19:41,25.00,,,,-95,1008,95,-210    ,-490    ,630     ,,,,0x02,
19:41,25.00,,,,-97,1006,98,-210    ,-490    ,630     ,,,,0x01,
19:41,25.01,,,,-94,1007,97,-420    ,-420    ,770     ,,,,0x03,
19:41,25.01,,,,-94,1008,94,-210    ,-420    ,840     ,,,,0x03,
19:41,25.01,,,,-94,1008,94,-140    ,-560    ,770     ,,,,0x02,
19:41,25.02,,,,-96,1007,94,-140    ,-560    ,770     ,,,,0x01,
19:41,25.02,,,,-95,1007,96,210     ,-770    ,630     ,,,,0x03,
19:41,25.02,,,,-95,1007,96,140     ,-630    ,630     ,,,,0x02,
19:41,25.03,,,,-95,1007,98,140     ,-630    ,630     ,,,,0x01,
19:41,25.03,,,,-95,1007,98,0       ,-630    ,770     ,,,,0x02,
19:41,25.03,,,,-95,1007,97,0       ,-630    ,770     ,,,,0x01,
19:41,25.03,,,,-94,1007,98,-70     ,-490    ,770     ,,,,0x03,
19:41,25.03,,,,-93,1008,96,210     ,-490    ,840     ,,,,0x03,
19:41,25.04,,,,-93,1008,96,140     ,-420    ,770     ,,,,0x02,
19:41,25.04,,,,-95,1008,97,140     ,-420    ,770     ,,,,0x01,
19:41,25.05,,,,-93,1007,96,-140    ,-420    ,770     ,,,,0x03,
19:41,25.05,,,,-94,1007,97,-70     ,-560    ,560     ,,,,0x03,
19:41,25.05,,,,-94,1007,97,70      ,-490    ,490     ,,,,0x02,
19:41,25.05,,,,-95,1008,96,70      ,-490    ,490     ,,,,0x01,
19:41,25.06,,,,-93,1006,97,-70     ,-560    ,630     ,,,,0x03,
19:41,25.06,,,,-93,1007,100,-140    ,-560    ,770     ,,,,0x03,
